GEN, BEST_TIME, BEST_SCORE
1590, 189, 29
1591, 189, 29
1592, 189, 29
1593, 189, 29
1594, 189, 29
1595, 189, 29
1596, 189, 29
1597, 189, 29
1598, 189, 29
1599, 189, 29
1600, 189, 29
1601, 189, 29
1602, 189, 29
1603, 189, 29
1604, 189, 29
1605, 189, 29
1606, 189, 29
1607, 189, 29
1608, 189, 29
1609, 189, 29
1610, 189, 29
1611, 189, 29
1612, 189, 29
1613, 189, 29
1614, 189, 29
1615, 189, 29
1616, 189, 29
1617, 189, 29
1618, 189, 29
1619, 189, 29
1620, 189, 29
1621, 189, 29
1622, 189, 29
1623, 189, 29
1624, 189, 29
1625, 189, 29
1626, 189, 29
1627, 189, 29
1628, 189, 29
1629, 189, 29
1630, 189, 29
1631, 189, 29
1632, 189, 29
1633, 189, 29
1634, 189, 29
1635, 189, 29
1636, 189, 29
1637, 189, 29
1638, 189, 29
1639, 189, 29
1640, 189, 29
1641, 189, 29
1642, 189, 29
1643, 189, 29
1644, 189, 29
1645, 189, 29
1646, 189, 29
1647, 189, 29
1648, 189, 29
1649, 189, 29
1650, 189, 29
1651, 189, 29
1652, 189, 29
1653, 189, 29
1654, 189, 29
1655, 189, 29
1656, 189, 29
